Date,Spend,Conversions,Cost per Install
2019-06-26,$26.18,15,$1.75
2019-06-27,$25.83,16,$1.61
2019-06-28,$25.88,13,$1.99
2019-06-29,$26.39,15,$1.76
2019-06-30,$26.0,15,$1.73
2019-07-01,$25.49,11,$2.32
2019-07-02,$25.97,16,$1.62
2019-07-03,$26.1,16,$1.63
2019-07-04,$26.25,20,$1.31
2019-07-05,$28.06,17,$1.65
2019-07-06,$25.75,13,$1.98
2019-07-07,$26.02,16,$1.63
2019-07-08,$25.84,12,$2.15
2019-07-09,$26.0,18,$1.44
2019-07-10,$25.64,12,$2.14
2019-07-11,$25.87,19,$1.36
2019-07-12,$26.12,18,$1.45
2019-07-13,$27.91,19,$1.47
2019-07-14,$26.02,17,$1.53
2019-07-15,$25.17,16,$1.57
2019-07-16,$27.63,12,$2.30
2019-07-17,$25.78,20,$1.29
2019-07-18,$26.3,19,$1.38
2019-07-19,$26.26,18,$1.46
2019-07-20,$25.72,17,$1.51
2019-07-21,$26.16,15,$1.74
2019-07-22,$25.69,11,$2.34
2019-07-23,$25.0,12,$2.08
2019-07-24,$25.36,13,$1.95
2019-07-25,$25.04,19,$1.32
2019-07-26,$25.47,19,$1.34
2019-07-27,$26.06,18,$1.45
2019-07-28,$26.2,21,$1.25
2019-07-29,$25.17,13,$1.94
2019-07-30,$25.39,15,$1.69
2019-07-31,$25.11,14,$1.79
2019-08-01,$25.34,14,$1.81
2019-08-02,$25.07,16,$1.57
2019-08-03,$25.92,17,$1.52
2019-08-04,$25.34,13,$1.95
2019-08-05,$25.81,21,$1.23
2019-08-06,$25.15,18,$1.40
2019-08-07,$25.3,12,$2.11
2019-08-08,$26.13,22,$1.19
2019-08-09,$26.22,13,$2.02
2019-08-10,$25.35,15,$1.69
2019-08-11,$25.86,17,$1.52
2019-08-12,$25.32,15,$1.69
2019-08-13,$25.71,18,$1.43
2019-08-14,$25.59,18,$1.42
2019-08-15,$25.38,15,$1.69
2019-08-16,$25.59,15,$1.71
2019-08-17,$25.41,15,$1.69
2019-08-18,$26.36,14,$1.88
2019-08-19,$25.07,13,$1.93
2019-08-20,$25.3,17,$1.49
2019-08-21,$25.31,18,$1.41
2019-08-22,$25.76,15,$1.72
2019-08-23,$26.11,16,$1.63
2019-08-24,$25.42,12,$2.12
2019-08-25,$25.62,18,$1.42
2019-08-26,$25.16,18,$1.40
2019-08-27,$25.08,18,$1.39
2019-08-28,$25.51,16,$1.59
2019-08-29,$27.02,16,$1.69
2019-08-30,$25.82,21,$1.23
2019-08-31,$25.76,20,$1.29
2019-09-01,$26.37,22,$1.20
2019-09-02,$26.38,17,$1.55
2019-09-03,$25.91,19,$1.36
2019-09-04,$25.41,16,$1.59
2019-09-05,$25.47,16,$1.59
2019-09-06,$26.28,17,$1.55
2019-09-07,$26.34,19,$1.39
2019-09-08,$25.92,17,$1.52
2019-09-09,$25.94,18,$1.44
2019-09-10,$25.28,15,$1.69
2019-09-11,$25.26,18,$1.40
2019-09-12,$17.93,6,$2.99
2019-09-13,$25.55,14,$1.82
2019-09-14,$25.19,18,$1.40
2019-09-15,$25.76,19,$1.36
2019-09-16,$25.91,14,$1.85
2019-09-17,$26.39,15,$1.76
2019-09-18,$25.39,15,$1.69
2019-09-19,$25.14,15,$1.68
2019-09-20,$25.71,12,$2.14
2019-09-21,$25.87,19,$1.36
2019-09-22,$8.26,11,$0.75
2019-09-23,$10.69,7,$1.53
2019-09-24,$8.47,8,$1.06
2019-09-25,$14.63,14,$1.05
2019-09-26,$15.29,12,$1.27
2019-09-27,$15.97,12,$1.33
2019-09-28,$14.37,8,$1.80
2019-09-29,$25.66,18,$1.43
2019-09-30,$23.37,19,$1.23
2019-10-01,$24.62,12,$2.05
2019-10-02,$25.49,14,$1.82
2019-10-04,$25.53,12,$2.13
2019-10-05,$13.57,11,$1.23
2019-10-06,$20.65,16,$1.29
2019-10-07,$20.66,18,$1.15
2019-10-08,$17.73,13,$1.36
2019-10-09,$25.16,21,$1.20
2019-10-10,$26.11,21,$1.24
2019-10-11,$17.13,12,$1.43
2019-10-12,$26.7,18,$1.48
2019-10-13,$26.01,16,$1.63
2019-10-14,$24.83,16,$1.55
2019-10-15,$25.39,12,$2.12
2019-10-16,$26.0,17,$1.53
2019-10-17,$19.13,15,$1.28
2019-10-18,$19.69,11,$1.79
2019-10-19,$14.89,9,$1.65
2019-10-20,$11.41,8,$1.43
2019-10-21,$14.75,10,$1.48
2019-10-22,$6.98,7,$1.00
2019-10-23,$7.22,7,$1.03
2019-10-24,$6.55,8,$0.82
2019-10-25,$8.18,6,$1.36
2019-10-26,$10.12,8,$1.26
2019-10-31,$32.99,16,$2.06
2019-11-01,$21.41,8,$2.68
2019-11-02,$23.18,11,$2.11
2019-11-03,$30.42,13,$2.34
2019-11-04,$25.61,18,$1.42
2019-11-05,$25.55,11,$2.32
2019-11-06,$22.0,10,$2.20
2019-11-07,$19.52,16,$1.22
2019-11-10,$17.0,10,$1.70
2019-11-11,$23.01,14,$1.64
2019-11-12,$23.71,11,$2.16
2019-11-13,$22.84,19,$1.20
2019-11-14,$25.58,16,$1.60
2019-11-15,$26.27,18,$1.46
2019-11-16,$25.61,12,$2.13
2019-11-17,$27.43,18,$1.52
2019-11-17,$27.43,18,$1.52
2019-11-18,$25.21,22,$1.15
2019-11-19,$25.94,18,$1.44
2019-11-20,$25.43,21,$1.21
2019-11-21,$26.07,21,$1.24
2019-11-22,$49.44,39,$1.27
2019-11-23,$50.42,34,$1.48
2019-11-24,$50.59,28,$1.81
2019-11-25,$50.53,29,$1.74
2019-11-26,$50.64,28,$1.81
2019-11-27,$47.86,32,$1.50
2019-11-28,$40.8,31,$1.32
2019-11-29,$27.32,19,$1.44
2019-11-30,$30.82,26,$1.19
2019-12-01,$34.61,24,$1.44
2019-12-02,$77.39,41,$1.89
2019-12-03,$73.47,43,$1.71
2019-12-04,$68.26,44,$1.55
2019-12-05,$71.55,34,$2.10
2019-12-06,$72.17,39,$1.85
2019-12-07,$67.6,47,$1.44
2019-12-08,$60.47,36,$1.68
2019-12-09,$91.16,50,$1.82
2019-12-10,$77.85,42,$1.85
2019-12-11,$82.12,46,$1.79
2019-12-13,$52.14,34,$1.53
2019-12-15,$34.27,17,$2.02
2019-12-16,$36.67,13,$2.82
2019-12-17,$43.05,15,$2.87
2019-12-18,$72.92,25,$2.92
2019-12-19,$82.34,42,$1.96
2019-12-20,$84.55,40,$2.11
2019-12-21,$72.22,30,$2.41
2019-12-22,$63.39,32,$1.98
2019-12-23,$61.44,35,$1.76
2019-12-24,$56.97,27,$2.11
2019-12-25,$77.14,31,$2.49
2019-12-26,$63.32,27,$2.35
2019-12-27,$76.93,39,$1.97
2019-12-28,$77.31,35,$2.21
2019-12-29,$67.15,35,$1.92
2019-12-30,$78.39,33,$2.38
2019-12-31,$67.57,30,$2.25
2020-01-01,$38.8,15,$2.59
2020-01-02,$70.68,29,$2.44
2020-01-03,$65.14,36,$1.81
2020-01-04,$36.37,23,$1.58
2020-01-05,$54.99,25,$2.20
2020-01-06,$70.76,38,$1.86
2020-01-07,$47.09,23,$2.05
2020-01-08,$63.55,36,$1.77
2020-01-09,$67.61,34,$1.99
2020-01-10,$77.04,45,$1.71
2020-01-11,$43.01,27,$1.59
2020-01-12,$67.38,29,$2.32
2020-01-13,$94.45,50,$1.89
2020-01-14,$73.3,34,$2.16
2020-01-15,$40.74,30,$1.36
2020-01-16,$76.56,34,$2.25
2020-01-17,$74.36,37,$2.01
2020-01-18,$75.15,17,$4.42
2020-01-19,$77.28,16,$4.83
2020-01-20,$75.2,38,$1.98
2020-01-21,$75.49,35,$2.16
2020-01-22,$75.28,37,$2.03
2020-01-23,$75.35,41,$1.84
2020-01-24,$52.4,33,$1.59
2020-01-25,$53.29,30,$1.78
2020-01-26,$72.8,40,$1.82
2020-01-27,$54.28,27,$2.01
2020-01-28,$75.62,36,$2.10
2020-01-29,$77.55,41,$1.89
2020-01-30,$76.3,36,$2.12
2020-01-31,$43.82,24,$1.83
2020-02-01,$75.97,33,$2.30
2020-02-02,$75.54,28,$2.70
2020-02-03,$76.72,38,$2.02
