Date,Spend,Conversions,Cost per Install
2019-04-11,$103.86,37,$2.81
2019-04-12,$119.07,50,$2.38
2019-04-13,$135.92,73,$1.86
2019-04-14,$150.99,74,$2.04
2019-04-15,$151.06,78,$1.94
2019-04-16,$150.39,75,$2.01
2019-04-17,$151.24,83,$1.82
2019-04-18,$145.13,73,$1.99
2019-04-19,$150.05,84,$1.79
2019-04-20,$150.08,83,$1.81
2019-04-21,$151.26,76,$1.99
2019-04-22,$150.14,79,$1.90
2019-04-23,$151.39,82,$1.85
2019-04-24,$150.9,89,$1.70
2019-04-25,$150.26,73,$2.06
2019-04-26,$151.58,77,$1.97
2019-04-27,$152.45,56,$2.72
2019-04-28,$151.95,67,$2.27
2019-04-29,$153.04,59,$2.59
2019-04-30,$150.92,66,$2.29
2019-05-01,$151.94,69,$2.20
2019-05-02,$127.37,67,$1.90
2019-05-03,$119.16,61,$1.95
2019-05-04,$106.89,65,$1.64
2019-05-06,$150.88,81,$1.86
2019-05-07,$122.3,57,$2.15
2019-05-08,$134.81,69,$1.95
2019-05-09,$145.7,73,$2.00
2019-05-10,$37.07,20,$1.85
2019-05-11,$25.91,17,$1.52
2019-05-12,$26.64,17,$1.57
2019-05-13,$25.93,14,$1.85
2019-05-14,$26.04,16,$1.63
2019-05-15,$26.29,21,$1.25
2019-05-16,$25.84,18,$1.44
2019-05-17,$25.19,6,$4.20
2019-05-18,$25.76,9,$2.86
2019-05-19,$26.05,9,$2.89
2019-05-20,$25.23,10,$2.52
2019-05-21,$26.13,11,$2.38
2019-05-23,$25.02,18,$1.39
2019-05-24,$26.07,10,$2.61
2019-05-25,$25.53,12,$2.13
2019-05-25,$25.53,12,$2.13
2019-05-26,$26.33,15,$1.76
2019-05-27,$25.47,20,$1.27
2019-05-28,$25.93,15,$1.73
2019-05-29,$25.36,15,$1.69
2019-05-30,$25.78,13,$1.98
2019-05-31,$25.7,14,$1.84
2019-06-01,$25.32,11,$2.30
2019-06-02,$26.24,13,$2.02
2019-06-03,$26.28,15,$1.75
2019-06-04,$25.53,14,$1.82
2019-06-05,$25.96,13,$2.00
2019-06-06,$25.31,10,$2.53
2019-06-07,$25.89,12,$2.16
2019-06-08,$26.09,11,$2.37
2019-06-09,$25.02,11,$2.27
2019-06-10,$25.1,13,$1.93
2019-06-11,$25.17,15,$1.68
2019-06-12,$22.55,15,$1.50
2019-06-13,$8.18,6,$1.36
2019-06-14,$24.05,15,$1.60
2019-06-15,$25.32,14,$1.81
2019-06-16,$25.98,22,$1.18
2019-06-17,$25.8,12,$2.15
2019-06-18,$26.13,17,$1.54
2019-06-19,$25.24,12,$2.10
2019-06-20,$25.68,8,$3.21
2019-06-21,$26.17,13,$2.01
2019-06-22,$26.52,10,$2.65
2019-06-23,$26.43,12,$2.20
2019-06-24,$25.94,17,$1.53
2019-06-25,$26.14,12,$2.18
