Date,Spend,Installs,Cost Per Install
2019-11-05,$1.86,5,$0.37
2019-11-06,$2.03,5,$0.41
2019-11-07,$2.04,6,$0.34
2019-11-10,$1.95,6,$0.33
2019-11-11,$2.2,7,$0.31
2019-11-12,$2.05,7,$0.29
2019-11-13,$2.01,8,$0.25
2019-11-14,$2.35,7,$0.34
2019-11-15,$2.19,8,$0.27
2019-11-16,$2.0,7,$0.29
2019-11-17,$2.07,8,$0.26
2019-11-17,$2.07,8,$0.26
2019-11-18,$2.08,7,$0.30
2019-11-19,$2.03,5,$0.41
2019-11-20,$2.05,5,$0.41
2019-11-21,$2.1,6,$0.35
2019-11-22,$2.07,7,$0.30
2019-11-23,$2.1,10,$0.21
2019-11-24,$2.05,5,$0.41
2019-11-25,$2.28,7,$0.33
2019-11-26,$2.07,5,$0.41
2019-11-27,$2.08,9,$0.23
2019-11-28,$2.0,6,$0.33
2019-11-29,$2.09,6,$0.35
2019-11-30,$2.12,4,$0.53
2019-12-01,$2.02,10,$0.20
2019-12-02,$2.09,7,$0.30
2019-12-03,$2.01,5,$0.40
2019-12-04,$2.04,3,$0.68
2019-12-05,$2.01,7,$0.29
2019-12-06,$2.1,7,$0.30
2019-12-07,$2.05,6,$0.34
2019-12-08,$2.29,5,$0.46
2019-12-09,$2.08,8,$0.26
2019-12-10,$2.05,9,$0.23
2019-12-11,$2.18,5,$0.44
2019-12-13,$2.05,5,$0.41
2019-12-15,$2.05,6,$0.34
